iter	Passed	Remaining
759	14503	23663
760	14521	23642
761	14537	23619
762	14556	23599
763	14576	23581
764	14600	23570
765	14616	23547
766	14637	23530
767	14655	23510
768	14674	23490
769	14691	23468
770	14709	23446
771	14726	23425
772	14745	23406
773	14762	23384
774	14780	23362
775	14797	23340
776	14816	23320
777	14833	23298
778	14854	23282
779	14870	23259
780	14889	23239
781	14908	23221
782	14930	23206
783	14951	23189
784	14968	23168
785	14986	23147
786	15006	23128
787	15024	23109
788	15042	23088
789	15060	23068
790	15078	23046
791	15098	23028
792	15115	23007
793	15133	22985
794	15163	22983
795	15192	22979
796	15212	22961
797	15231	22942
798	15248	22920
799	15265	22898
800	15283	22877
801	15302	22858
802	15320	22837
803	15338	22817
804	15356	22796
805	15373	22774
806	15391	22753
807	15409	22732
808	15426	22710
809	15444	22690
810	15462	22669
811	15480	22648
812	15497	22627
813	15515	22605
814	15533	22585
815	15551	22564
816	15568	22542
817	15585	22521
818	15604	22501
819	15625	22486
820	15643	22464
821	15660	22442
822	15677	22421
823	15695	22400
824	15713	22379
825	15731	22359
826	15749	22338
827	15766	22317
828	15784	22296
829	15802	22275
830	15818	22252
831	15837	22233
832	15856	22214
833	15876	22196
834	15896	22178
835	15915	22159
836	15936	22143
837	15953	22122
838	15972	22102
839	15991	22083
840	16009	22063
841	16028	22043
842	16045	22022
843	16063	22001
844	16080	21979
845	16097	21957
846	16117	21940
847	16136	21920
848	16156	21903
849	16203	21921
850	16233	21918
851	16251	21897
852	16270	21878
853	16288	21858
854	16306	21836
855	16325	21818
856	16342	21795
857	16358	21773
858	16376	21753
859	16394	21731
860	16416	21716
861	16442	21707
862	16460	21686
863	16477	21665
864	16497	21647
865	16514	21624
866	16530	21602
867	16547	21580
868	16565	21559
869	16582	21538
870	16600	21517
871	16618	21497
872	16636	21476
873	16653	21455
874	16672	21435
875	16689	21414
876	16706	21392
877	16722	21370
878	16739	21348
879	16756	21326
880	16773	21305
881	16790	21283
882	16807	21261
883	16823	21238
884	16843	21220
885	16860	21199
886	16878	21178
887	16896	21158
888	16917	21142
889	16935	21122
890	16959	21109
891	16977	21088
892	16996	21069
893	17015	21050
894	17033	21029
895	17051	21009
896	17068	20988
897	17085	20966
898	17102	20945
899	17119	20923
900	17138	20904
901	17165	20895
902	17183	20875
903	17224	20883
904	17248	20869
905	17271	20855
906	17290	20836
907	17308	20816
908	17326	20796
909	17344	20775
910	17364	20756
911	17382	20736
912	17403	20719
913	17420	20699
914	17439	20679
915	17457	20658
916	17474	20638
917	17492	20617
918	17512	20599
919	17530	20579
920	17550	20561
921	17568	20540
922	17584	20518
923	17601	20497
924	17619	20476
925	17636	20455
926	17652	20433
927	17669	20411
928	17688	20392
929	17705	20370
930	17723	20350
931	17742	20331
932	17759	20310
933	17776	20289
934	17795	20269
935	17812	20248
936	17831	20229
937	17849	20208
938	17866	20188
939	17884	20167
940	17903	20148
941	17921	20128
942	17938	20107
943	17956	20087
944	17974	20066
945	17990	20044
946	18008	20023
947	18026	20004
948	18049	19989
949	18068	19970
950	18091	19956
951	18111	19937
952	18129	19917
953	18147	19897
954	18164	19876
955	18183	19856
956	18202	19837
957	18219	19817
958	18269	19831
959	18286	19810
960	18306	19792
961	18324	19772
962	18342	19751
963	18360	19731
964	18377	19710
965	18395	19690
966	18414	19671
967	18431	19650
968	18451	19631
969	18467	19610
970	18485	19589
971	18503	19569
972	18518	19546
973	18536	19526
974	18554	19505
975	18571	19484
976	18588	19463
977	18607	19444
978	18625	19425
979	18642	19403
980	18660	19383
981	18677	19362
982	18695	19341
983	18711	19320
984	18728	19299
985	18747	19279
986	18765	19259
987	18785	19241
988	18803	19221
989	18821	19201
990	18840	19182
991	18858	19162
992	18874	19140
993	18895	19123
994	18915	19105
995	18933	19085
996	18955	19069
997	18975	19051
998	18992	19030
999	19010	19010
1000	19030	18991
1001	19048	18972
1002	19065	18951
1003	19084	18932
1004	19102	18912
1005	19120	18892
1006	19138	18872
1007	19155	18851
1008	19172	18830
1009	19189	18809
1010	19209	18791
1011	19226	18770
1012	19243	18749
1013	19286	18753
1014	19307	18737
1015	19326	18717
1016	19342	18696
1017	19361	18676
1018	19379	18656
1019	19396	18636
1020	19414	18615
1021	19431	18595
1022	19449	18575
1023	19467	18554
1024	19484	18534
1025	19502	18514
1026	19520	18493
1027	19538	18474
1028	19556	18454
1029	19575	18434
1030	19592	18414
1031	19610	18394
1032	19631	18376
1033	19649	18357
1034	19668	18338
1035	19689	18320
1036	19706	18300
1037	19725	18280
1038	19743	18261
1039	19761	18241
1040	19780	18222
1041	19797	18201
1042	19816	18182
1043	19835	18163
1044	19854	18144
1045	19876	18127
1046	19896	18110
1047	19916	18091
1048	19938	18075
1049	19956	18056
1050	19976	18038
1051	19995	18018
1052	20012	17997
1053	20031	17978
1054	20056	17965
1055	20074	17945
1056	20092	17925
1057	20110	17905
1058	20128	17885
1059	20147	17866
1060	20166	17847
1061	20185	17828
1062	20212	17816
1063	20231	17797
1064	20249	17777
1065	20267	17757
1066	20286	17738
1067	20328	17739
1068	20346	17719
1069	20366	17701
1070	20385	17682
1071	20403	17662
1072	20421	17643
1073	20438	17622
1074	20455	17601
1075	20473	17581
1076	20490	17560
1077	20508	17540
1078	20527	17521
1079	20545	17501
1080	20564	17482
1081	20582	17462
1082	20600	17443
1083	20619	17423
1084	20636	17403
1085	20654	17383
1086	20672	17363
1087	20688	17342
1088	20705	17320
1089	20724	17302
1090	20741	17281
1091	20757	17259
1092	20775	17239
1093	20791	17218
1094	20810	17199
1095	20829	17180
1096	20846	17159
1097	20863	17139
1098	20883	17120
1099	20900	17100
1100	20917	17079
1101	20938	17062
1102	20956	17042
1103	20974	17022
1104	20993	17003
1105	21011	16983
1106	21030	16965
1107	21049	16945
1108	21072	16929
1109	21091	16911
1110	21109	16891
1111	21127	16871
1112	21145	16851
1113	21162	16830
1114	21178	16810
1115	21196	16790
1116	21214	16770
1117	21231	16749
1118	21249	16729
1119	21267	16710
1120	21285	16690
1121	21301	16669
1122	21350	16673
1123	21370	16655
1124	21388	16635
1125	21406	16615
1126	21425	16596
1127	21443	16576
1128	21459	16555
1129	21478	16536
1130	21497	16517
1131	21514	16497
1132	21531	16476
1133	21548	16456
1134	21566	16436
1135	21583	16415
1136	21602	16396
1137	21618	16375
1138	21637	16356
1139	21654	16336
1140	21672	16316
1141	21689	16295
1142	21705	16274
1143	21737	16265
1144	21755	16245
1145	21773	16225
1146	21790	16204
1147	21809	16186
1148	21828	16167
1149	21846	16147
1150	21864	16127
1151	21882	16107
1152	21901	16088
1153	21918	16068
1154	21939	16051
1155	21959	16032
1156	21977	16013
1157	21995	15993
1158	22013	15973
1159	22032	15954
1160	22052	15936
1161	22071	15917
1162	22093	15900
1163	22113	15882
1164	22132	15863
1165	22149	15842
1166	22167	15823
1167	22186	15803
1168	22206	15785
1169	22226	15767
1170	22244	15747
1171	22262	15727
1172	22282	15710
1173	22301	15690
1174	22319	15671
1175	22337	15651
1176	22423	15679
1177	22460	15672
1178	22479	15653
1179	22497	15633
1180	22514	15613
1181	22532	15593
1182	22549	15573
1183	22569	15554
1184	22586	15534
1185	22603	15513
1186	22620	15493
